iter,case,relation_count,relation_event_count,new_relation_event_count,reused_relation_event_count,new_relation_event_ratio,reused_relation_event_ratio,final_cumulative_relations,schema_only_relation_count,max_new_relations_at_idx,max_growth_idx
iter0,case1_name_only,514,3753,511,3242,0.13615774047428725,0.8638422595257128,511,3,6,1
iter0,case2_name_general,502,3753,502,3251,0.13375965893951505,0.866240341060485,502,0,6,1
iter0,case3_name_detail,528,3753,527,3226,0.14042099653610446,0.8595790034638956,527,1,6,1
iter0,case4_detail_strict,487,3753,484,3269,0.1289634958699707,0.8710365041300293,484,3,6,1
iter0,case5_concat,496,3753,493,3260,0.13136157740474289,0.8686384225952571,493,3,6,1
iter0,case6_weighted,558,3753,555,3198,0.14788169464428458,0.8521183053557154,555,3,6,1
